 REP CMDT, CMDT Code, CMDT - Commodity
0000,000000,"FAK OR CARGO, NOS"
0000,000001,"REFRIGERATED AND TEMPERATURE CONTROLLED CARGO, NOS"
0000,000002,"FREIGHT ALL KINDS, FAK"
0000,000003,"CARGO IN REFRIGERATION, NOS"
0000,000004,"CONSOLIDATED OR MIXED LOADS OF COMMODITIES,NOS EXCEPT SPECIAL EQ AND DG/HAZ GOODS."
0000,000005,STRAIGHT OR MIXED COMMODITIES NOS (BUT EXCLUDING CARGO REQUIRING SPECIAL EQUIPMENT AND DANGEROUS/HAZARDOUS CARGO)
0000,000007,"FREIGHT ALL KINDS(SINGLE COMMODITY LOAD, STRAIGHT LOAD ONLY)"
0000,000008,"FREIGHT ALL KINDS(EXCLUDING GARMENTS, NOS)"
0000,000009,"STRAIGHT OR MIXED LOADS OF COMMODITIES NOS INCLUDING TEXTILES,GARMENTS,FASHION ACCESSORIES(EXCLUDING SPECIAL EQUIPMENT AND DANGEROUS/HAZARDOUS GOODS)"
0000,000012,"GDSM EXCLUDING TEXILE, NON-HAZARDOUS, IN MIXED OR STRAIGHT LOAD (CLOSE-OUTS), NOS"
0000,000013,"MIXED LOADS OF ITEMS EXCEPT TEXTILE, GARMENT, FASHION ACCESSORIES, SPEIAL EQ AND DG/HAZ GOODS"
0000,000014,SINGLE COMMODITIES EXCLUDING SPECIAL AND DANGEROUS (HAZARDOUS) CARGOES
0000,000015,"REEFER, NOS;"
0000,000016,COMMODITIES USING SPECIAL CONTAINERS (EXCLUDING REEFER CONTAINER) AND DANGEROUS (HAZARDOUS) GOODS (INCLUDING SOC TANK CONTAINER)
0000,000017,CONSOLIDATED OR MIXED LOADS OF COMMODITIES
0000,000018,"CARGO N.O.S (STRAIGHT OR MIXED LOADS) INCUDING D.G, HAZ GOODS"
0000,000019,"CARGO, NOS (STRAIGHT LOADS ONLY)"
0000,000020,"STRAIGHT LOADS OF TEXTILES, GARMENTS, FASHION ACCESSORIES,NOS."
0000,000021,"STRAIGHT LOADS OF COMMODITIES NOS EXCLUDING TEXTILES, GARMENTS, AND FASHION ACCESSORIES."
0000,000023,"REEFER, NOS (FROZEN ONLY)"
0000,000024,"REEFER, NOS (CHILLED ONLY)"
0000,000025,STRAIGHT LOADS OF COMMODITIES NOS EXCLUDING TEXTILES AND GARMENTS
0000,000026,STRAIGHT LOADS OF GARMENTS AND TEXTILES.
0200,020002,"BEEF, FROZEN, NOS"
0200,020003,"MEAT, FLANK, FROZEN; NOS"
0200,020004,"POULTRY, FROZEN,NOS"
0200,020005,"BEEF OFFALS, EDIBLE, NOS:"
0200,020006,"FROZEN BEEF, NOS"
0200,020008,"SEASONED PORK, GROUND, FROZEN, NOS"
0200,020009,"PORK PATTY, FROZEN, NOS"
0200,020010,"HAM, SAUSAGE; NOS"
0200,020101,"BEEF,FRESH OR CHILLED,NOS."
0200,020200,"MEAT, FROZEN, NOS"
0200,020300,"DELI MEAT, HOT DOGS, PORK OFFALS, FROZEN; NOS"
0200,020601,"HORSEMEAT AND OFFALS, NOS"
0200,020603,"PORK, FRESH OR CHILLED, NOS"
0200,020604,"PORK FAT, FAT TRIMMINGS, LIVERS, OFFALS, NOS"
0200,020608,"PORK, FROZEN, NOS"
0200,020700,"BEEF AND PORK FATTY TISSUE, NOS"
0200,020701,"POULTRY, FRESH, CHILLED OR FROZEN AND CHICKEN PARTS, WHOLE"
0200,020703,"TURKEY, WHOLE, FROZEN, NOS"
0200,020800,"ILLEX, FROZEN; NOS"
0300,030000,"FISH AND CRUSTACEANS, MOLLUSC AND OTHER AQUATIC INVERTEBRATE; NOS"
0300,030001,"SEAFOOD, CANNED, NOS"
0300,030002,"MONK FISH, FROZEN, NOS"
0300,030003,"FROZEN POLLOCK FILLET, NOS"
0300,030004,"ROASTED EEL, FROZEN, NOS"
0300,030005,"TUNA FISH, FROZEN, NOS"
0300,030009,"SALTED DRY JELLY FISH, NOS"
0300,030010,"CROAKER, FROZEN, NOS"
0300,030012,"FISH, NOS:"
0300,030015,"FROZEN FISH,  NOS"
0300,030017,"CUCUMBER, SEA, FROZEN, NOS"
0300,030023,"HAG FISH, FROZEN, NOS"
0300,030100,"EEL, FROZEN, NOS"
0300,030193,"FROZEN CARP, NOS"
0300,030200,"CANNED SARDINES, NOS"
0300,030201,"CANNED TUNA, NOS"
0300,030202,"MACKEREL, SQUID, FROZEN FOR CANNING, NOS"
0300,030203,"COD ROE, FROZEN, NOS"
0300,030204,"POLLOCK ROE, FROZEN, NOS"
0300,030207,"MULLET ROE, FROZEN, NOS"
0300,030208,"ROE, NOS"
0300,030209,"COD AND POLLOCK, NOS"
0300,030210,"FROZEN ANCHOVIES, NOS"
0300,030302,"HALIBUT, FROZEN, NOS"
0300,030303,"BLACK COD, FROZEN, NOS"
0300,030304,"SARDINES, FROZEN, NOS"
0300,030400,"SALMON, FROZEN, NOS"
0300,030401,"SALMON, PINK, FROZEN, NOS"
0300,030600,"FROZEN SHRIMP, NOS"
0300,030602,"CANNED SHRIMP, NOS"
0300,030603,"CANNED TOPSHELLS, NOS"
0300,030604,"CLAMS, FROZEN, NOS"
0300,030606,"CONCH MEAT, NOS"
0300,030608,"CRAB MEAT, FROZEN, NOS"
0300,030610,"LOBSTER, FROZEN, NOS"
0300,030611,"PRAWNS AND SHRIMP, FRESH, CHILLED OR FROZEN; NOS"
0300,030613,"CRABS, NOS"
0300,030702,"SQUID, DRIED, NOS"
0300,030704,"CUTTLEFISH, OCTOPUS AND SQUID, FROZEN; NOS"
0300,030705,"ASSORTED FROZEN MARINE PRODUCTS, NOS;"
0300,030709,"SCALLOP, FROZEN; NOS"
0300,030710,"BOTTOM FISH, FROZEN; NOS"
0300,030711,"CHUM SALMON, FROZEN, NOS;"
0300,030799,"JELLYFISH, FRESH, REFRIGERATED, NOT FROZEN"
0400,040000,"DAIRY PRODUCE, BIRDS EGGS, NATURAL HONEY, EDIBLE PRODUCTS OF ANIMAL ORIGIN; NOS"
0400,040001,"HONEY, NOS"
0400,040002,"SOY MILK, NOS"
0400,040003,"BEE WAX, NOS"
0400,040004,"EGGS AND EGG YOLKS, WHOLE, DRIED OR POWDERED; NOS"
0400,040005,"CREAM, NOS"
0400,040006,"EGGS, FROZEN, NOS"
0400,040007,"WHIPPED TOPPINGS, DAIRY AND NON-DAIRY, CREAM AND MILK SUBSTITUTES; NOS"
0400,040200,"SKIMMED MILK, DRIED OR POWDERED; NOS"
0400,040201,"CREAM, DRIED OR POWDERED; NOS"
0400,040202,"POWDERED MILK, NOS"
0400,040203,"YOGURT, FROZEN, NOS"
0400,040205,"UHT MILK, NOS"
0400,040400,"WHEY POWDER, NOS"
0400,040401,"WHEY PROTEIN CONCENTRATE, NOS"
0400,040402,"GARLIC POWDER, NOS"
0400,040600,"CHEESE, NOS"
0400,040601,"CHEESE FLAVORED POWDER, NOS"
0400,040602,"CHILLED CHEESE, NOS"
0400,040603,"FROZEN CHEESE, NOS"
0400,040700,"WHOLE EGGS, FRESH, NOS"
0500,050000,"ANIMAL ORIGIN PRODUCTS; HAIRS, ALL KINDS"
0500,050002,"GRAY GOOSE DOWN, NOS"
0500,050003,"CHICKEN FEET, NOS"
0500,050004,"FEATHERS, DUCK, NOS"
0500,050005,"FEATHERS, ALL KINDS, NOS:"
0500,050006,"DOWN FEATHERS, NOS:"
0500,050009,"GOOSE FEATHERS, WHITE, NOS"
0500,050010,"SPONGES, CELLULOSE, NOS"
0500,050011,"SPONGES,  NOS"
0500,050100,"HUMAN HAIR, NOS"
0500,050200,"BRISTLES, NOS"
0500,050201,"BROOM BRISTLES, NOS"
0500,050400,"BEEF STOMACHS, REFRIGERATED, NOS"
0500,050402,"HOG CASINGS, NOS"
0500,050403,"NATURAL CASINGS, NOS"
0500,050502,"WHITE DOVE FEATHERS, NOS"
0500,050503,"FEATHER DOWN, NOS"
0500,050504,"DOWN, NOS: GARMENT INSULATION, NOS"
0500,050505,"FEATHER WASTE, NOS"
0500,050600,"ANIMAL BONE, DRIED, NOS"
0500,050700,"ANTLERS, DEER, NOS"
0500,050801,"CLAM SHELLS, NOS"
