hts,short_desc,long_desc,naics
101210010,"HORSES AND ASSES, PUREBRED BREEDING, MALE, LIVE","HORSES AND ASSES, PUREBRED BREEDING, MALE, LIVE",112920
101210020,"HORSES AND ASSES, PUREBRED BREEDING, FEMALE, LIVE","HORSES AND ASSES, PUREBRED BREEDING, FEMALE, LIVE",112920
101290010,"HORSES, FOR IMMEDIATE SLAUGHTER, LIVE, NESOI","HORSES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE, EXCEPT PUREBRED BREEDING",112920
101290090,"HORSES, LIVE, NESOI","HORSES, LIVE, NESOI",112920
101300000,"ASSES, LIVE","ASSES, LIVE",112920
101903000,"MULES AND HINNIES, FOR IMMEDIATE SLAUGHTER, LIVE","MULES AND HINNIES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE",112920
101904000,"MULES AND HINNIES, LIVE, NESOI","MULES AND HINNIES, LIVE, NESOI",112920
102210010,"BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE","BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE",11211X
102210020,"BOVINES, PUREBRED BREEDING, DAIRY, FEMALE, LIVE","BOVINES, PUREBRED BREEDING, DAIRY, FEMALE, LIVE",11211X
102210030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXC DAIRY","CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY",11211X
102210050,"CATTLE, PUREBRED BREEDING FEMALE, LIVE, EXC DAIRY","CATTLE, PUREBRED BREEDING, FEMALE, LIVE, EXCEPT DAIRY",11211X
102292011,"COWS, DAIRY, LT 90 KG EA, LIVE, NESOI","COWS, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",11211X
102292012,"COWS, DAIRY, GT=90 KG EA, LIVE, NESOI","COWS, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING",11211X
102294024,"CATTLE, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI","CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",11211X
102294028,"CATTLE, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI","CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY",11211X
102294034,"CATTLE, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI","CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR D",11211X
102294038,"CATTLE, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI","CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR",11211X
102294054,"CATTLE, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI","CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR",11211X
102294058,"CATTLE, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI","CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/O",11211X
102294062,"STEERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG, NESOI","STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294064,"BULLS, LIVE, IMMEDIATE SLAUGHTER, GT=320 KG NESOI","BULLS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294066,"COWS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG EA NESOI","COWS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294068,"HEIFERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG NESOI","HEIFERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294072,"CATTLE, LIVE, FOR BREEDING MALE GT=320 KG EA NESOI","CATTLE, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294074,"CATTLE, LIVE, BREEDING, FEMALE, GT=320 KG EA NESOI","CATTLE, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294082,"CATTLE, LIVE, MALE, WEIGHING GT=320 KG EACH, NESOI","CATTLE, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102294084,"CATTLE, LIVE, FEMALE, WEIGHING GT=320 KG EA, NESOI","CATTLE, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI",11211X
102310010,"BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXC DAIRY","BUFFALO, LIVE, PUREBRED BREEDING, MALE, OTHER THAN DAIRY",11211X
102310020,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE EXC DAIRY","BUFFALO, LIVE, PUREBRED BREEDING, FEMALE, OTHER THAN DAIRY",11211X
102390010,"BISON, LIVE","BISON, LIVE",112990
102390024,"BUFFALO, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI","BUFFALO, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",11211X
102390028,"BUFFALO, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI","BUFFALO, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON",11211X
