,hs6,naics
0,910211,334518
3,160510,311711
29,106199,112990
39,910212,334518
42,910219,334518
53,105120,1123XX
54,105130,1123XX
55,105140,1123XX
56,105150,1123XX
57,105940,1123XX
58,106110,112990
59,105990,1123XX
60,106120,112990
61,106130,112990
62,106140,112930
63,106193,112930
65,106200,112990
66,106310,112990
67,106320,112990
68,106330,112990
69,106390,112990
70,106490,112910
71,106490,112990
72,106900,112990
75,201100,311611
77,201101,311611
79,201105,311611
81,201200,311611
84,201201,311611
85,201203,311611
86,201205,311611
88,201208,311611
90,201300,311611
93,201301,311611
94,201303,311611
95,201305,311611
97,201308,311611
99,202100,311611
101,202101,311611
103,202105,311611
105,202200,311611
108,202201,311611
109,202203,311611
110,101210,112920
112,101290,112920
113,101300,112920
114,101903,112920
115,101904,112920
116,102210,11211X
120,102292,11211X
122,102294,11211X
136,102310,11211X
138,102390,112990
139,102390,11211X
171,102900,11211X
172,103100,112210
173,103910,112210
176,103920,112210
179,104100,112410
180,104200,112420
181,105110,1123XX
184,202205,311611
185,202208,311611
186,202300,311611
189,202301,311611
190,202303,311611
191,202305,311611
193,202308,311611
194,203110,311611
195,203121,311611
197,203129,311611
199,203192,311611
201,203194,311611
203,203210,311611
204,203221,311611
205,203229,311611
206,203292,311611
207,203294,311611
208,204100,311611
209,204210,311611
210,204222,311611
214,204224,311611
215,204232,311611
216,511994,311613
217,204234,311611
218,204300,311611
219,204410,311611
220,204422,311611
224,204424,311611
225,204432,311611
226,204434,311611
227,204500,311611
228,205000,311611
229,206100,311611
230,206210,311611
231,206220,311611
232,206290,311611
233,206300,311611
234,206410,311611
235,206490,311611
236,206800,311611
237,206900,311611
239,207110,311615
240,207120,311615
243,207130,311615
244,207140,311615
245,207240,311615
246,207252,311615
247,207254,311615
248,207260,311615
249,207270,311615
251,207410,311615
252,207420,311615
253,207430,311615
254,207440,311615
255,207450,311615
257,207510,311615
258,207520,311615
259,207530,311615
260,207540,311615
261,207550,311615
262,703102,111219
264,207601,311615
265,207602,311615
266,207603,311615
267,207606,311615
268,207604,311615
270,208100,311615
271,208300,311611
272,208400,311611
273,208500,311611
274,208600,311611
275,208902,311611
277,208903,311615
278,208909,311611
279,209100,311611
280,209900,311615
281,210110,311611
283,210120,311611
285,210190,311611
287,210200,311611
288,210910,311611
289,210920,311611
290,210930,311611
291,210992,311615
292,210999,311611
293,301110,112511
296,301190,112511
297,301910,112511
298,301920,112511
299,301930,112511
301,301940,112511
302,301950,112511
303,301990,112511
306,302110,112511
307,302110,114111
308,302130,112511
309,302130,114111
316,302140,112511
317,302140,114111
319,302190,114111
320,302210,114111
323,302220,114111
324,302230,114111
325,302290,114111
326,302240,114111
328,302310,114111
329,302320,114111
330,302330,114111
331,302340,114111
332,302350,114111
333,302360,114111
334,302390,114111
335,302410,114111
336,302420,114111
337,302795,114111
338,302430,114111
339,302440,114111
340,302451,114111
341,302455,114111
342,302461,114111
343,302465,114111
344,302470,114111
346,302510,114111
348,302520,114111
349,302530,114111
350,302541,114111
351,302545,114111
352,302551,114111
353,302555,114111
354,302561,114111
355,302565,114111
356,302591,114111
357,302595,114111
359,302711,114111
360,302715,114111
361,302721,114111
362,302725,114111
365,302731,114111
366,302735,114111
367,302740,114111
368,302791,114111
370,303904,114111
371,302810,114111
373,302820,114111
374,302830,114111
375,302841,114111
376,302845,114111
377,302851,114111
378,302855,114111
379,302891,114111
381,302895,114111
400,302902,114111
401,302904,114111
403,303110,114111
404,303120,114111
405,303250,114111
411,303130,114111
412,303140,114111
413,303190,114111
414,303230,114111
415,303240,114111
418,303260,114111
419,303290,114111
421,303310,114111
424,303320,114111
425,303330,114111
426,303340,114111
427,303390,114111
431,303410,114111
432,303420,114111
435,303430,114111
436,303440,114111
437,303450,114111
439,303460,114111
440,303490,114111
441,303510,114111
442,303530,114111
443,709999,111219
444,303540,114111
445,303550,114111
446,303560,114111
447,303570,114111
449,303630,114111
451,303640,114111
452,303650,114111
453,303660,114111
454,303670,114111
455,303680,114111
456,303690,114111
457,303810,114111
459,303820,114111
460,303830,114111
461,303840,114111
462,303890,114111
482,303902,114111
486,304530,114111
487,304310,114111
488,304320,114111
491,304330,114111
492,304390,114111
493,304410,112511
494,304410,114111
496,304420,114111
497,304430,114111
502,304440,114111
508,304450,114111
509,304460,114111
510,304490,114111
518,304510,114111
523,304520,112511
524,304520,114111
526,130231,325411
533,304540,114111
534,304550,114111
535,304590,114111
551,304610,114111
552,304620,114111
556,304630,114111
557,304690,114111
558,304711,114111
559,304715,114111
560,304721,114111
561,304725,114111
562,304731,114111
563,304735,114111
564,304741,114111
565,304745,114111
566,306120,114112
567,304751,114111
568,304755,114111
569,304791,114111
572,304795,114111
573,304811,114111
574,304815,114111
576,304821,114111
577,304825,114111
578,304831,114111
584,304835,114111
590,304840,114111
591,304850,114111
592,304860,114111
593,304870,114111
594,304891,114111
601,304895,114111
615,304911,114111
616,304919,114111
617,304921,114111
618,304929,114111
619,304931,114111
622,304939,114111
623,304941,114111
626,304949,114111
627,304951,114111
634,304959,114111
635,304991,114111
636,280429,325120
646,304999,114111
648,305102,311710
649,305104,311710
650,305202,311710
651,305204,311710
654,305310,311710
655,305320,311710
657,305392,311710
658,305394,311710
659,305396,311710
661,305410,311710
662,305420,311710
665,305430,311710
666,305440,311710
667,305492,311710
668,305494,311710
670,305510,311710
671,305590,311710
673,305612,311710
674,305614,311710
675,305620,311710
683,305720,311710
684,305632,311710
685,305634,311710
686,305636,311710
687,305641,311710
688,305645,311710
689,305691,311710
695,305692,311710
696,305693,311710
697,305694,311710
698,305695,311710
699,305696,311710
700,305710,311710
701,305790,311710
702,306110,114112
706,306144,114112
710,306150,114111
711,306160,114112
721,306170,114112
724,200799,311421
726,271320,324110
727,281119,325180
737,306190,114112
738,306190,114111
740,306210,114112
741,306220,114112
743,306242,114112
744,306244,114112
745,306250,114112
746,306260,114112
748,307600,114112
749,306270,114112
751,306290,114112
752,307110,114112
753,307710,114112
754,307110,112512
756,307190,112512
757,307190,114112
758,307210,114112
759,307290,114112
760,307310,112512
761,307310,114112
762,307390,114112
763,307410,114112
766,307490,114112
773,307510,114112
774,307590,114112
776,307790,114112
780,307810,114112
781,307890,114112
782,307910,114112
784,307990,114112
785,308110,114112
786,308190,114112
787,308210,114112
789,308290,114112
790,308300,114112
791,308900,114112
792,401100,311511
793,401202,311511
794,401204,311511
795,401400,311511
797,401402,311511
798,401500,311511
800,401502,311511
801,401504,311511
802,401505,311511
803,401507,311511
804,402100,311514
805,402101,311514
806,402105,311514
807,402210,311514
809,402212,311514
811,402213,311514
812,402215,311514
813,709932,111219
814,402217,311514
816,402219,311514
817,709933,111219
818,402290,311514
819,402291,311514
820,402295,311514
821,402910,311514
823,281121,325120
825,282410,325130
826,282490,325130
829,284610,325180
830,402911,311514
831,402913,311514
832,291431,325199
833,402917,311514
834,402919,311514
835,402990,311514
837,402991,311514
838,402993,311514
839,402994,311514
840,402995,311514
841,402996,311514
842,402997,311514
843,402999,311514
844,403100,311511
845,403101,311511
846,403105,311511
847,403109,311511
848,403900,311511
850,403901,311511
851,403902,311511
852,403903,311514
853,403904,311514
857,403905,311514
860,403906,311514
862,403907,311511
865,403908,311511
867,403909,311511
869,404100,311514
871,404101,311514
873,404102,311513
874,404104,311514
875,404105,311514
877,404109,311514
878,404901,311514
879,404902,311514
880,404903,311514
881,404905,311514
882,404907,311514
883,405100,311512
884,405101,311512
885,405102,311512
886,405201,311225
887,405202,311225
888,405203,311225
889,405204,311225
890,405205,311225
891,405206,311225
892,405207,311225
893,405208,311512
894,405900,311512
896,405901,311512
898,405902,311512
900,406100,311513
903,406101,311513
906,406102,311513
908,406103,311513
910,406104,311513
912,406105,311513
914,406106,311513
916,406107,311513
918,406108,311513
920,406109,311513
921,406201,311513
923,406202,311513
927,406203,311513
933,406204,311513
937,406205,311513
944,406206,311513
949,406207,311513
954,406208,311513
959,406209,311513
961,406300,311513
962,406301,311513
965,406302,311513
968,406303,311513
971,406304,311513
976,406305,311513
981,406306,311513
986,406307,311513
991,406308,311513
996,406309,311513
998,406402,311513
999,406404,311513
1002,406405,311513
1006,406407,311513
1007,406900,311513
1011,406901,311513
1015,406902,311513
1018,406903,311513
1025,505100,339999
1027,406904,311513
1034,406905,311513
1040,406906,311513
1044,406907,311513
1048,406908,311513
1052,406909,311513
1054,505902,311613
1061,407110,1123XX
1062,407190,1123XX
1063,407210,1123XX
1065,407290,1123XX
1066,407900,311999
1067,408110,311999
1068,408190,311999
1069,408910,311999
1070,408990,311999
1071,409000,112910
1077,410000,114119
1078,501000,990000
1079,502100,311611
1080,502900,112990
1081,504000,311611
1087,505906,311613
1088,506100,311611
1089,506900,311611
1091,507100,990000
1092,507900,990000
1094,508000,114119
1095,510002,114119
1096,510004,311611
1099,511100,11211X
1101,511910,311613
1103,511992,311611
1104,511993,311613
1106,511993,990000
1107,511993,114119
1108,511994,11211X
