,OfficialNAICSCode,OfficialNAICSDescription,Count,Unnamed: 0,hs6,naics,hs2
27,111150,Corn Farming ,41943,1704,100510,111150,10
28,111150,Corn Farming ,41943,1706,100590,111150,10
57,111110,Soybean Farming,20932,1781,120110,111110,12
58,111110,Soybean Farming,20932,1782,120190,111110,12
59,111110,Soybean Farming,20932,65623,120100,111110,12
78,323111,Commercial Printing (except Screen and Books) ,16576,6072,392690,323111,39
79,323111,Commercial Printing (except Screen and Books) ,16576,7417,482010,323111,48
80,323111,Commercial Printing (except Screen and Books) ,16576,7423,482030,323111,48
81,323111,Commercial Printing (except Screen and Books) ,16576,7425,482040,323111,48
82,323111,Commercial Printing (except Screen and Books) ,16576,7426,482050,323111,48
83,323111,Commercial Printing (except Screen and Books) ,16576,7427,482090,323111,48
84,323111,Commercial Printing (except Screen and Books) ,16576,7428,482110,323111,48
85,323111,Commercial Printing (except Screen and Books) ,16576,7436,482340,323111,48
86,323111,Commercial Printing (except Screen and Books) ,16576,7450,490110,323111,49
87,323111,Commercial Printing (except Screen and Books) ,16576,7454,490199,323111,49
88,323111,Commercial Printing (except Screen and Books) ,16576,7464,490210,323111,49
89,323111,Commercial Printing (except Screen and Books) ,16576,7465,490290,323111,49
90,323111,Commercial Printing (except Screen and Books) ,16576,7470,490400,323111,49
91,323111,Commercial Printing (except Screen and Books) ,16576,7472,490510,323111,49
92,323111,Commercial Printing (except Screen and Books) ,16576,7473,490591,323111,49
93,323111,Commercial Printing (except Screen and Books) ,16576,7474,490599,323111,49
94,323111,Commercial Printing (except Screen and Books) ,16576,7476,490700,323111,49
95,323111,Commercial Printing (except Screen and Books) ,16576,7477,490810,323111,49
96,323111,Commercial Printing (except Screen and Books) ,16576,7478,490890,323111,49
97,323111,Commercial Printing (except Screen and Books) ,16576,7479,490900,323111,49
98,323111,Commercial Printing (except Screen and Books) ,16576,7481,491000,323111,49
99,323111,Commercial Printing (except Screen and Books) ,16576,7484,491110,323111,49
100,323111,Commercial Printing (except Screen and Books) ,16576,7490,491191,323111,49
101,323111,Commercial Printing (except Screen and Books) ,16576,7496,491199,323111,49
102,323111,Commercial Printing (except Screen and Books) ,16576,14865,830510,323111,83
103,323111,Commercial Printing (except Screen and Books) ,16576,19134,950440,323111,95
105,111199,All Other Grain Farming ,15916,1559,100829,111199,10
106,111199,All Other Grain Farming ,15916,1683,100830,111199,10
107,111199,All Other Grain Farming ,15916,1694,100210,111199,10
108,111199,All Other Grain Farming ,15916,1696,100290,111199,10
109,111199,All Other Grain Farming ,15916,1697,100310,111199,10
110,111199,All Other Grain Farming ,15916,1698,100390,111199,10
111,111199,All Other Grain Farming ,15916,1702,100410,111199,10
112,111199,All Other Grain Farming ,15916,1703,100490,111199,10
113,111199,All Other Grain Farming ,15916,1724,100710,111199,10
114,111199,All Other Grain Farming ,15916,1725,100790,111199,10
115,111199,All Other Grain Farming ,15916,1726,100810,111199,10
116,111199,All Other Grain Farming ,15916,1727,100821,111199,10
117,111199,All Other Grain Farming ,15916,1728,100840,111199,10
118,111199,All Other Grain Farming ,15916,1729,100850,111199,10
119,111199,All Other Grain Farming ,15916,1730,100860,111199,10
120,111199,All Other Grain Farming ,15916,1731,100890,111199,10
121,111199,All Other Grain Farming ,15916,1959,140490,111199,14
122,111199,All Other Grain Farming ,15916,65573,100700,111199,10
123,111199,All Other Grain Farming ,15916,65576,100820,111199,10
124,111199,All Other Grain Farming ,15916,65811,100200,111199,10
125,111199,All Other Grain Farming ,15916,65812,100300,111199,10
126,111199,All Other Grain Farming ,15916,65815,100400,111199,10
127,111199,All Other Grain Farming ,15916,65834,120792,111199,12
131,111998,All Other Miscellaneous Crop Farming ,15788,1403,714102,111998,71
132,111998,All Other Miscellaneous Crop Farming ,15788,1419,714901,111998,71
133,111998,All Other Miscellaneous Crop Farming ,15788,1643,906110,111998,90
134,111998,All Other Miscellaneous Crop Farming ,15788,1644,906190,111998,90
135,111998,All Other Miscellaneous Crop Farming ,15788,1667,910990,111998,91
136,111998,All Other Miscellaneous Crop Farming ,15788,1671,910992,111998,91
137,111998,All Other Miscellaneous Crop Farming ,15788,1814,120929,111998,12
138,111998,All Other Miscellaneous Crop Farming ,15788,1834,120921,111998,12
139,111998,All Other Miscellaneous Crop Farming ,15788,1836,120922,111998,12
140,111998,All Other Miscellaneous Crop Farming ,15788,1843,120923,111998,12
141,111998,All Other Miscellaneous Crop Farming ,15788,1848,120924,111998,12
142,111998,All Other Miscellaneous Crop Farming ,15788,1849,120925,111998,12
143,111998,All Other Miscellaneous Crop Farming ,15788,1893,121010,111998,12
144,111998,All Other Miscellaneous Crop Farming ,15788,1894,121020,111998,12
145,111998,All Other Miscellaneous Crop Farming ,15788,1896,121120,111998,12
146,111998,All Other Miscellaneous Crop Farming ,15788,1898,121130,111998,12
147,111998,All Other Miscellaneous Crop Farming ,15788,1899,121140,111998,12
148,111998,All Other Miscellaneous Crop Farming ,15788,1900,121190,111998,12
149,111998,All Other Miscellaneous Crop Farming ,15788,1914,121292,111998,12
150,111998,All Other Miscellaneous Crop Farming ,15788,1916,121294,111998,12
151,111998,All Other Miscellaneous Crop Farming ,15788,1919,121299,111998,12
152,111998,All Other Miscellaneous Crop Farming ,15788,1920,121300,111998,12
153,111998,All Other Miscellaneous Crop Farming ,15788,1930,121490,111998,12
154,111998,All Other Miscellaneous Crop Farming ,15788,1962,140490,111998,14
155,111998,All Other Miscellaneous Crop Farming ,15788,2272,170220,111998,17
156,111998,All Other Miscellaneous Crop Farming ,15788,8205,530110,111998,53
157,111998,All Other Miscellaneous Crop Farming ,15788,8206,530121,111998,53
158,111998,All Other Miscellaneous Crop Farming ,15788,8207,530129,111998,53
159,111998,All Other Miscellaneous Crop Farming ,15788,8209,530210,111998,53
160,111998,All Other Miscellaneous Crop Farming ,15788,8211,530310,111998,53
161,111998,All Other Miscellaneous Crop Farming ,15788,20841,714401,111998,71
162,111998,All Other Miscellaneous Crop Farming ,15788,21322,121150,111998,12
163,111998,All Other Miscellaneous Crop Farming ,15788,65789,906100,111998,90
164,111998,All Other Miscellaneous Crop Farming ,15788,65798,910402,111998,91
165,111998,All Other Miscellaneous Crop Farming ,15788,65857,120926,111998,12
166,111998,All Other Miscellaneous Crop Farming ,15788,65963,140310,111998,14
167,111998,All Other Miscellaneous Crop Farming ,15788,65967,140410,111998,14
168,111998,All Other Miscellaneous Crop Farming ,15788,71548,530410,111998,53
169,111998,All Other Miscellaneous Crop Farming ,15788,71553,530521,111998,53
170,111998,All Other Miscellaneous Crop Farming ,15788,71555,530591,111998,53
171,111998,All Other Miscellaneous Crop Farming ,15788,204407,140300,111998,14
207,339999,All Other Miscellaneous Manufacturing ,10497,1025,505100,339999,50
208,339999,All Other Miscellaneous Manufacturing ,10497,1152,603900,339999,60
209,339999,All Other Miscellaneous Manufacturing ,10497,1160,604903,339999,60
210,339999,All Other Miscellaneous Manufacturing ,10497,1161,604906,339999,60
211,339999,All Other Miscellaneous Manufacturing ,10497,5324,340600,339999,34
212,339999,All Other Miscellaneous Manufacturing ,10497,6051,392690,339999,39
213,339999,All Other Miscellaneous Manufacturing ,10497,6975,441400,339999,44
214,339999,All Other Miscellaneous Manufacturing ,10497,9247,590700,339999,59
215,339999,All Other Miscellaneous Manufacturing ,10497,12202,670300,339999,67
216,339999,All Other Miscellaneous Manufacturing ,10497,12345,670411,339999,67
217,339999,All Other Miscellaneous Manufacturing ,10497,12472,650500,339999,65
218,339999,All Other Miscellaneous Manufacturing ,10497,12524,660110,339999,66
219,339999,All Other Miscellaneous Manufacturing ,10497,12525,660191,339999,66
