text,label,Index
bicycles and cycles including delivery tricycles not motorized bicycles having both wheels not exceeding 63 5 cm in diameter bicycles cycles bicycles having both wheels exceeding 63 5 cm in diameter bicycles having a front wheel exceeding 55 cm but not exceeding 63 5 cm in diameter and a rear wheel exceeding 63 5 cm in diameter weighing less than 16 3 kg complete without accessories and not designed for use with tires having a cross sectional diameter exceeding 4 13 cm valued 200 or more each having both wheels exceeding 55 cm but not exceeding 63 5 cm in diameter if weighing less than 16 3 kg complete without accessories and not designed for use with tires having a cross sectional diameter exceeding 4 13 cm having both wheels not exceeding 50 cm in diameter having both wheels exceeding 50 cm but not exceeding 55 cm in diameter,871200,0
871200,871200,1
bicycles having both wheels not exceeding 50 cm in diameter,871200,2
bicycles having both wheels exceeding 50 cm but not exceeding 55 cm in diameter,871200,3
bicycles having both wheels exceeding 55 cm but not exceeding 63.5 cm in diameter,871200,4
"bicycles having both wheels gt 63.5 cm in diam, weighing less than 16.3 kg complete w   ithout access, not for tires having crosssectn diam gt 4.13cm",871200,5
"bicycles having both wheels exceeding 63.5 cm in diameter, nesoi",871200,6
"bicycles having a front wheel exc. 55m not exc. 63.5 cm in diameter and rear wheel exc.63.5cm,weight lt 16.3 kg complete w/o accessories,value gt $200",871200,7
"bicycles, nesoi",871200,8
"cycles, nesoi",871200,9
"bicycles having both wheels > 63.5 cm in diameter, weighing less than 16.3 kg complete without access, not for tires having crosssectnal diam > 4.13cm",871200,10
"bicycles having a front wheel exc. 55m not exc. 63.5 cm in diameter and rear wheel exc.63.5cm, weight < 16.3 kg complete w/o accessories, value >$200.",871200,11
bicycles having both wheels exceeding 55 cm but not exceeding 65 cm in diameter,871200,12
"bicycles having both wheels exceeding 65 cm in diameter,weighing less than 16.3 kg complete without access,not for tires having crosssect diam exc 4cm",871200,13
"bicycles having both wheels exceeding 65 cm in diameter, nesoi",871200,14
"bicycles having both wheels exceeding 65 cm in diameter,weighing less than 16.3 kg complete without access,not for tires hvng crosssect diam ex 4.13cm",871200,15
"fairing, assy, rear hercules rev. r08 part no. 400-xxxx6 po no. xxxx101 line5 q ty 960 pcs n-weight xxxx kg g-weight xxxx kg dkvsxxxx19-1-3",871200,16
bicycles oth cycles (inc del tricycle) no m 16 bicycle dept xxxx po xxxx314 s c xxxx18 group a tel xxxx-xxxx872,871200,17
bicycle bicycle (hs xxxxxxxx00) the same the same the same,871200,18
bicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedulebicycles oth cycles (inc del tricycle) no m xxxx kent brand bicycles conforming to kent purchase order specifications per the following kent shipping schedule,871200,19
said to contain equipment ex kn lnz xxxx-xxxx-904.013 content and details as per shippers declaration loaded in saco nyc destination boston hs-code xxxx00,871200,20
bicycle po# 6mzw92rw hs# 8 xxxxxxxx0 freight collect this shipment contains no wood packing materials +tel:0 22-xxxxxxxx,871200,21
bicycles costco po 179-xxxx-751 item xxxx179 qty:273sets hts xxxx00 if applicable cpsia url -www.costcocpsia.com this shipment does not contain any solid wood packing material,871200,22
treadmill mat,871200,23
"fairing, assy, rear, h p p-t-du, blue rev. x01 part no. 400-xxxx6-c2 po no. xxxx032 line3 q ty 960 pcs n-weight xxxx kg g-weight xxxx kg dkvsxxxx24-1-4",871200,24
bicycles bicycles costco po#267-xxxx-562 item# xxxx176 qty 324sets hts#xxxxxxxx00 . if applicable cpsia url - www.costcocpsia.com this shpt does not contain any solid wood packing material.,871200,25
bicycles and parts po# xxxx7 / xxxx0 / xxxx1a/ xxxx1 /xxxx9 hs code= xxxx00 / xxxx99 this shipment contains no solid wood packing mate rialbicycles and parts po# xxxx7 / xxxx0 / xxxx1a/ xxxx1 /xxxx9 hs code= xxxx00 / xxxx99 this shipment contains no solid wood packing mate rialbicycles and parts po# xxxx7 / xxxx0 / xxxx1a/ xxxx1 /xxxx9 hs code= xxxx00 / xxxx99 this shipment contains no solid wood packing mate rial,871200,26
exerpeutic recumbent bikeexerpeutic recumbent bikeexerpeutic recumbent bike,871200,27
