hs,desc
010121,live horses asses mules and hinnies horses purebred breeding animals males females
010129,live horses asses mules and hinnies horses imported for immediate slaughter
010130,live horses asses mules and hinnies asses
010190,live horses asses mules and hinnies imported for immediate slaughter
010221,live bovine animals cattle purebred breeding animals dairy male female
010229,live bovine animals cattle cows imported specially for dairy purposes weighing 200 kg or more but less than 320 kg each weighing less than 90 kg each weighing 90 kg or more but less than 200 kg each weighing less than 90 kg each weighing 90 kg or more each weighing 320 kg or more each for immediate slaughter female male for breeding cows steers female male heifers bulls
010231,live bovine animals buffalo purebred breeding animals male female weighing 320 kg or more each female
010239,live bovine animals buffalo bison weighing 200 kg or more but less than 320 kg each weighing 90 kg or more but less than 200 kg each weighing less than 90 kg each weighing 320 kg or more each female for immediate slaughter male for breeding male female
010290,live bovine animals weighing 320 kg or more each female
010310,live swine purebred breeding animals
010391,live swine weighing less than 50 kg each weighing 23 kg or more but less than 50 kg each weighing less than 7 kg each weighing 7 kg or more but less than 23 kg each
010392,live swine weighing 50 kg or more each breeding animals than purebred breeding animals imported for immediate slaughter
010410,live sheep and goats sheep
010420,live sheep and goats goats
010511,live poultry of the following kinds chickens ducks geese turkeys and guineas weighing not more than 185 g chickens breeding stock whether or not purebred layer type egg type broiler type meat type
010512,live poultry of the following kinds chickens ducks geese turkeys and guineas weighing not more than 185 g turkeys broiler type meat type
010513,live poultry of the following kinds chickens ducks geese turkeys and guineas weighing not more than 185 g ducks broiler type meat type
010514,live poultry of the following kinds chickens ducks geese turkeys and guineas weighing not more than 185 g geese broiler type meat type
010515,live poultry of the following kinds chickens ducks geese turkeys and guineas weighing not more than 185 g guinea fowls broiler type meat type
010594,live poultry of the following kinds chickens ducks geese turkeys and guineas chickens broiler type meat type
010599,live poultry of the following kinds chickens ducks geese turkeys and guineas broiler type meat type
010611,live animals mammals primates
010612,live animals mammals whales dolphins and porpoises mammals of the order cetacea manatees and dugongs mammals of the order sirenia seals sea lions and walruses mammals of the suborder pinnipedia
010613,live animals mammals camels and camelids camelidae
010614,live animals mammals rabbits and hares
010619,live animals mammals foxes dogs
010620,live animals reptiles including snakes and turtles
010631,live animals birds birds of prey
010632,live animals birds psittaciformes including parrots parakeets macaws and cockatoos
010633,live animals birds ostriches emus dromaius novaehollandiae
010639,live animals birds
010641,live animals insects bees
010649,live animals insects leaf cutter bee larvae
010690,live animals bait than worms worms
020110,meat of bovine animals fresh or chilled carcasses and half carcasses veal
020120,meat of bovine animals fresh or chilled cuts with bone in processed bison fresh or chilled bone in veal cuts high quality beef cuts chuck cuts rib cuts loin cuts brisket cuts flank or plate cuts hip cuts
020130,meat of bovine animals fresh or chilled boneless processed bison fresh or chilled boneless veal cuts high quality beef cuts chuck cuts rib cuts loin cuts brisket cuts flank or plate cuts hip cuts
020210,meat of bovine animals frozen carcasses and half carcasses veal
020220,meat of bovine animals frozen cuts with bone in processed chuck cuts rib cuts loin cuts hip cuts brisket cuts flank or plate cuts high quality beef cuts
